X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-77.7604399,44.7446681,Bancroft District,2012,Brook Trout,Big Buck Lake,lac Big Buck,,18-2810-49587,LAKE,Yearlings,500,44.7446681,-77.7604399,28
-78.69786,45.18371,Bancroft District,2012,Brook Trout,Blackcat Lake,lac Blackcat,,17-6809-50057,SHERBORNE,Yearlings,600,45.18371,-78.69786,29
-78.55045,45.57732,Algonquin Park Zone - Ontario Parks,2011,Splake,Jack Lake,lac Jack,,17-6911-50505,CANISBAY,Yearlings,2200,45.57732,-78.55045,30
-77.1935032,44.8937315,Bancroft District,2012,Brook Trout,Bon Echo Creek,ruisseau Bon Écho,,18-3263-49740,BARRIE,Yearlings,500,44.8937315,-77.1935032,31
-78.83928,45.46793,Algonquin Park Zone - Ontario Parks,2011,Splake,Maple Leaf Lake,lac Maple Leaf,,17-6694-50369,FINLAYSON,Yearlings,3700,45.46793,-78.83928,32
-78.49223,45.55838,Algonquin Park Zone - Ontario Parks,2011,Splake,Provoking Lake,lac Provoking,,17-6957-50478,CANISBAY,Yearlings,4600,45.55838,-78.49223,33
-78.3925,45.51949,Algonquin Park Zone - Ontario Parks,2011,Splake,Rosepond Lake,lac Rosepond,,17-7036-50437,NIGHTINGALE,Yearlings,200,45.51949,-78.3925,34
-77.79699,45.89885,Algonquin Park Zone - Ontario Parks,2011,Splake,Rowan Lake,lac Rowan,,18-2828-50865,STRATTON,Yearlings,3500,45.89885,-77.79699,35
-78.08971,45.68477,Algonquin Park Zone - Ontario Parks,2011,Splake,Ryan Lake,lac Ryan,,17-7266-50629,PRESTON,Yearlings,2500,45.68477,-78.08971,36
-78.43001,45.53283,Algonquin Park Zone - Ontario Parks,2011,Splake,Speckledtrout Lake,lac Speckledtrout,,17-7007-50451,CANISBAY,Yearlings,2000,45.53283,-78.43001,37
-78.40389,45.59727,Algonquin Park Zone - Ontario Parks,2011,Splake,Sunday Lake,lac Sunday,,17-7025-50524,SPROULE,Yearlings,2500,45.59727,-78.40389,38
-78.7477322,45.5149407,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,,,Randall Lake (Unofficial Name),17-6759-50424,PECK,Yearlings,250,45.5149407,-78.7477322,39
-78.46358,45.62212,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Blackfox Lake,lac Blackfox,,17-6975-50544,SPROULE,Yearlings,2450,45.62212,-78.46358,40
-78.39779,45.55061,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Cloud Lake,lac Cloud,,17-7031-50472,SPROULE,Yearlings,400,45.55061,-78.39779,41
-78.51232,45.54829,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Faya Lake,lac Faya,,17-6938-50468,CANISBAY,Yearlings,400,45.54829,-78.51232,42
-78.39158,45.54953,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Fisher Lake,lac Fisher,,17-7036-50471,SPROULE,Yearlings,1000,45.54953,-78.39158,43
-78.37222,45.4795,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Gem Lake,lac Gem,,17-7054-50394,NIGHTINGALE,Yearlings,1000,45.4795,-78.37222,44
-78.55695,45.56394,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Jake Lake,lac Jake,,17-6906-50483,CANISBAY,Yearlings,1200,45.56394,-78.55695,45
-78.31817,45.58319,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Lake St. Anthony,lac St. Anthony,,17-7092-50510,SPROULE,Yearlings,1400,45.58319,-78.31817,46
-78.2793108,45.5932228,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Little McCauley Lake,petit lac McCauley,,17-7122-50523,SPROULE,Yearlings,3000,45.5932228,-78.2793108,47
-77.67581,45.85727,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Marie Lake,lac Marie,,18-2922-50814,STRATTON,Yearlings,1200,45.85727,-77.67581,48
-78.24455,45.573,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,Milon Lake,lac Milon,,17-7146-50494,AIRY,Yearlings,1200,45.573,-78.24455,49
-78.28111,45.56977,Algonquin Park Zone - Ontario Parks,2012,Brook Trout,West Smith Lake,lac Smith Ouest,,17-7121-50496,SPROULE,Yearlings,500,45.56977,-78.28111,50
-78.30722,45.59033,Algonquin Park Zone - Ontario Parks,2012,Splake,Brewer Lake,lac Brewer,,17-7100-50518,SPROULE,Yearlings,5000,45.59033,-78.30722,51
-78.64613,45.5781,Algonquin Park Zone - Ontario Parks,2012,Splake,Bruce Lake,lac Bruce,,17-6836-50496,PECK,Yearlings,2600,45.5781,-78.64613,52
-78.29888,45.56394,Algonquin Park Zone - Ontario Parks,2012,Splake,Bud Lake,lac Bud,,17-7108-50489,AIRY,Yearlings,600,45.56394,-78.29888,53
-78.3528849,45.5700089,Algonquin Park Zone - Ontario Parks,2012,Splake,Fork Lake,lac Fork,,17-7068-50495,SPROULE,Yearlings,2400,45.5700089,-78.3528849,54
-78.56313,45.55473,Algonquin Park Zone - Ontario Parks,2012,Splake,Grant Lake,lac Grant,,17-6899-50467,CANISBAY,Yearlings,800,45.55473,-78.56313,55
-78.34176,45.65396,Algonquin Park Zone - Ontario Parks,2012,Splake,Hartley Lake,lac Hartley,,17-7078-50584,SPROULE,Yearlings,700,45.65396,-78.34176,56
-78.81168,45.44755,Algonquin Park Zone - Ontario Parks,2012,Splake,Heron Lake,lac Héron,,17-6711-50348,FINLAYSON,Yearlings,2500,45.44755,-78.81168,57
-78.60696,45.51894,Algonquin Park Zone - Ontario Parks,2012,Splake,Hilliard Lake,lac Hilliard,,17-6869-50432,CANISBAY,Yearlings,3700,45.51894,-78.60696,58
-78.43107,45.71175,Algonquin Park Zone - Ontario Parks,2012,Splake,Langford Lake,lac Langford,,17-6998-50656,BOWER,Yearlings,1000,45.71175,-78.43107,59
-78.67362,45.54671,Algonquin Park Zone - Ontario Parks,2012,Splake,Ouse Lake,lac Ouse,,17-6816-50461,PECK,Yearlings,1000,45.54671,-78.67362,60
-78.65279,45.54921,Algonquin Park Zone - Ontario Parks,2012,Splake,Peck Lake,lac Peck,,17-6832-50464,PECK,Yearlings,1000,45.54921,-78.65279,61
-78.40668,45.54144,Algonquin Park Zone - Ontario Parks,2012,Splake,Raccoon Lake,lac Raccoon,,17-7024-50461,SPROULE,Yearlings,3000,45.54144,-78.40668,62
-78.08971,45.68477,Algonquin Park Zone - Ontario Parks,2012,Splake,Ryan Lake,lac Ryan,,17-7266-50629,PRESTON,Yearlings,5500,45.68477,-78.08971,63
-78.7298607,45.5327289,Algonquin Park Zone - Ontario Parks,2012,Splake,Sam Lake,lac Sam,,17-6773-50444,PECK,Yearlings,900,45.5327289,-78.7298607,64
-78.3876523,45.6047284,Algonquin Park Zone - Ontario Parks,2012,Splake,Sproule Lake,lac Sproule,,17-7038-50532,SPROULE,Yearlings,4300,45.6047284,-78.3876523,65
-78.3257385,45.5850458,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,,,Bluff Lake (Unofficial Name),17-7086-50512,SPROULE,Yearlings,1300,45.5850458,-78.3257385,66
-78.47814,45.45127,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Cecil Lake,lac Cecil,,17-6955-50358,LAWRENCE,Yearlings,400,45.45127,-78.47814,67
-78.32084,45.47171,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Farm Bay Lake,lac Farm Bay,,17-7094-50386,NIGHTINGALE,Yearlings,1200,45.47171,-78.32084,68
-78.298398,45.5567329,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Leaf Lake,lac Leaf,,17-7107-50492,AIRY,Yearlings,700,45.5567329,-78.298398,69
-77.6643626,45.8565617,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Length Lake,lac Length,,18-2931-50814,STRATTON,Yearlings,3500,45.8565617,-77.6643626,70
-78.34222,45.64755,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Little Minnow Lake,petit lac Minnow,,17-7071-50581,SPROULE,Yearlings,1000,45.64755,-78.34222,71
-78.39928,45.6812,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Marmot Lake,lac Marmot,,17-7025-50619,BOWER,Yearlings,600,45.6812,-78.39928,72
-78.35417,45.64838,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Myra Lake,lac Myra,,17-7062-50582,SPROULE,Yearlings,600,45.64838,-78.35417,73
-78.38195,45.48394,Algonquin Park Zone - Ontario Parks,2013,Brook Trout,Sandy Lake,lac Sandy,,17-7046-50398,NIGHTINGALE,Yearlings,700,45.48394,-78.38195,74
-78.11693,45.63366,Algonquin Park Zone - Ontario Parks,2013,Splake,Billy Lake,lac Billy,,17-7247-50572,PRESTON,Yearlings,3400,45.63366,-78.11693,75
-78.68183,45.485,Algonquin Park Zone - Ontario Parks,2013,Splake,Claude Lake,lac Claude,,17-6811-50390,PECK,Yearlings,1200,45.485,-78.68183,76
-78.8613135,45.4369322,Algonquin Park Zone - Ontario Parks,2013,Splake,Ermine Lake,lac Ermine,,17-6669-50331,FINLAYSON,Yearlings,3500,45.4369322,-78.8613135,77
-78.63556,45.54978,Algonquin Park Zone - Ontario Parks,2013,Splake,Found Lake,lac Found,,17-6845-50465,PECK,Yearlings,1200,45.54978,-78.63556,78
-78.66446,45.51644,Algonquin Park Zone - Ontario Parks,2013,Splake,Grape Lake,lac Grape,,17-6824-50428,PECK,Yearlings,1000,45.51644,-78.66446,79
-78.81168,45.44755,Algonquin Park Zone - Ontario Parks,2013,Splake,Heron Lake,lac Héron,,17-6711-50348,FINLAYSON,Yearlings,2500,45.44755,-78.81168,80
-78.55045,45.57732,Algonquin Park Zone - Ontario Parks,2013,Splake,Jack Lake,lac Jack,,17-6911-50505,CANISBAY,Yearlings,2200,45.57732,-78.55045,81
-78.83928,45.46793,Algonquin Park Zone - Ontario Parks,2013,Splake,Maple Leaf Lake,lac Maple Leaf,,17-6694-50369,FINLAYSON,Yearlings,3700,45.46793,-78.83928,82
-78.49223,45.55838,Algonquin Park Zone - Ontario Parks,2013,Splake,Provoking Lake,lac Provoking,,17-6957-50478,CANISBAY,Yearlings,1022,45.55838,-78.49223,83
-78.49223,45.55838,Algonquin Park Zone - Ontario Parks,2013,Splake,Provoking Lake,lac Provoking,,17-6957-50478,CANISBAY,Yearlings,3578,45.55838,-78.49223,84
-78.3925,45.51949,Algonquin Park Zone - Ontario Parks,2013,Splake,Rosepond Lake,lac Rosepond,,17-7036-50437,NIGHTINGALE,Yearlings,200,45.51949,-78.3925,85
-77.79699,45.89885,Algonquin Park Zone - Ontario Parks,2013,Splake,Rowan Lake,lac Rowan,,18-2828-50865,STRATTON,Yearlings,3500,45.89885,-77.79699,86
-78.43001,45.53283,Algonquin Park Zone - Ontario Parks,2013,Splake,Speckledtrout Lake,lac Speckledtrout,,17-7007-50451,CANISBAY,Yearlings,2000,45.53283,-78.43001,87
-78.40389,45.59727,Algonquin Park Zone - Ontario Parks,2013,Splake,Sunday Lake,lac Sunday,,17-7025-50524,SPROULE,Yearlings,2500,45.59727,-78.40389,88
-78.7477322,45.5149407,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,,,Randall Lake (Unofficial Name),17-6759-50424,PECK,Yearlings,250,45.5149407,-78.7477322,89
-78.46358,45.62212,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Blackfox Lake,lac Blackfox,,17-6975-50544,SPROULE,Yearlings,2450,45.62212,-78.46358,90
-78.39779,45.55061,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Cloud Lake,lac Cloud,,17-7031-50472,SPROULE,Yearlings,400,45.55061,-78.39779,91
-78.51232,45.54829,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Faya Lake,lac Faya,,17-6938-50468,CANISBAY,Yearlings,400,45.54829,-78.51232,92
-78.39158,45.54953,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Fisher Lake,lac Fisher,,17-7036-50471,SPROULE,Yearlings,1000,45.54953,-78.39158,93
-78.37222,45.4795,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Gem Lake,lac Gem,,17-7054-50394,NIGHTINGALE,Yearlings,1000,45.4795,-78.37222,94
-78.55695,45.56394,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Jake Lake,lac Jake,,17-6906-50483,CANISBAY,Yearlings,1200,45.56394,-78.55695,95
-78.2793108,45.5932228,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Little McCauley Lake,petit lac McCauley,,17-7122-50523,SPROULE,Yearlings,3000,45.5932228,-78.2793108,96
-77.67581,45.85727,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Marie Lake,lac Marie,,18-2922-50814,STRATTON,Yearlings,1200,45.85727,-77.67581,97
-78.24455,45.573,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,Milon Lake,lac Milon,,17-7146-50494,AIRY,Yearlings,1200,45.573,-78.24455,98
-78.28111,45.56977,Algonquin Park Zone - Ontario Parks,2014,Brook Trout,West Smith Lake,lac Smith Ouest,,17-7121-50496,SPROULE,Yearlings,500,45.56977,-78.28111,99
-78.30722,45.59033,Algonquin Park Zone - Ontario Parks,2014,Splake,Brewer Lake,lac Brewer,,17-7100-50518,SPROULE,Yearlings,5000,45.59033,-78.30722,100
-78.64613,45.5781,Algonquin Park Zone - Ontario Parks,2014,Splake,Bruce Lake,lac Bruce,,17-6836-50496,PECK,Yearlings,2600,45.5781,-78.64613,101
-78.3528849,45.5700089,Algonquin Park Zone - Ontario Parks,2014,Splake,Fork Lake,lac Fork,,17-7068-50495,SPROULE,Yearlings,2400,45.5700089,-78.3528849,102
-78.56313,45.55473,Algonquin Park Zone - Ontario Parks,2014,Splake,Grant Lake,lac Grant,,17-6899-50467,CANISBAY,Yearlings,800,45.55473,-78.56313,103
-78.34176,45.65396,Algonquin Park Zone - Ontario Parks,2014,Splake,Hartley Lake,lac Hartley,,17-7078-50584,SPROULE,Yearlings,700,45.65396,-78.34176,104
-78.81168,45.44755,Algonquin Park Zone - Ontario Parks,2014,Splake,Heron Lake,lac Héron,,17-6711-50348,FINLAYSON,Yearlings,2500,45.44755,-78.81168,105
-78.60696,45.51894,Algonquin Park Zone - Ontario Parks,2014,Splake,Hilliard Lake,lac Hilliard,,17-6869-50432,CANISBAY,Yearlings,3700,45.51894,-78.60696,106
-78.67362,45.54671,Algonquin Park Zone - Ontario Parks,2014,Splake,Ouse Lake,lac Ouse,,17-6816-50461,PECK,Yearlings,1000,45.54671,-78.67362,107
-78.65279,45.54921,Algonquin Park Zone - Ontario Parks,2014,Splake,Peck Lake,lac Peck,,17-6832-50464,PECK,Yearlings,1000,45.54921,-78.65279,108
-78.40668,45.54144,Algonquin Park Zone - Ontario Parks,2014,Splake,Raccoon Lake,lac Raccoon,,17-7024-50461,SPROULE,Yearlings,3000,45.54144,-78.40668,109
-78.08971,45.68477,Algonquin Park Zone - Ontario Parks,2014,Splake,Ryan Lake,lac Ryan,,17-7266-50629,PRESTON,Yearlings,5500,45.68477,-78.08971,110
-78.7298607,45.5327289,Algonquin Park Zone - Ontario Parks,2014,Splake,Sam Lake,lac Sam,,17-6773-50444,PECK,Yearlings,900,45.5327289,-78.7298607,111
-78.3876523,45.6047284,Algonquin Park Zone - Ontario Parks,2014,Splake,Sproule Lake,lac Sproule,,17-7038-50532,SPROULE,Yearlings,4300,45.6047284,-78.3876523,112
-78.3257385,45.5850458,Algonquin Park Zone - Ontario Parks,2015,Brook Trout,,,Bluff Lake (Unofficial Name),17-7086-50512,SPROULE,Yearlings,1300,45.5850458,-78.3257385,113
-78.47814,45.45127,Algonquin Park Zone - Ontario Parks,2015,Brook Trout,Cecil Lake,lac Cecil,,17-6955-50358,LAWRENCE,Yearlings,400,45.45127,-78.47814,114
-78.32084,45.47171,Algonquin Park Zone - Ontario Parks,2015,Brook Trout,Farm Bay Lake,lac Farm Bay,,17-7094-50386,NIGHTINGALE,Yearlings,1200,45.47171,-78.32084,115
-76.87329,45.06227,Bancroft District,2012,Brook Trout,Bullseye Lake,lac Bullseye,,18-3525-49914,SOUTH CANONTO,Yearlings,300,45.06227,-76.87329,116
-78.5868169,45.1724441,Bancroft District,2012,Brook Trout,Burdock Lake,lac Burdock,,17-6896-50047,GUILFORD,Yearlings,800,45.1724441,-78.5868169,117
-78.04778,45.01089,Bancroft District,2012,Brook Trout,Centre Lake,lac Centre,,17-7326-49882,CARDIFF,Yearlings,3500,45.01089,-78.04778,118
-78.07112,45.20699,Bancroft District,2012,Brook Trout,Chainy Lake,lac Chainy,East Chainy Lake (Chainy Lake) (Unofficial Name),17-7300-50099,MCCLURE,Yearlings,1000,45.20699,-78.07112,119
-76.96495,45.13393,Bancroft District,2012,Brook Trout,Crag Lake,lac Crag,,18-3455-49995,MILLER,Yearlings,1400,45.13393,-76.96495,120
-76.9110104,45.0678354,Bancroft District,2012,Brook Trout,Croker Lake,lac Croker,,18-3495-49921,SOUTH CANONTO,Yearlings,1600,45.0678354,-76.9110104,121
-77.80638,45.31616,Bancroft District,2012,Brook Trout,Davis Pond,étang Davis,,18-2800-50217,WICKLOW,Yearlings,600,45.31616,-77.80638,122
-77.24996,45.07366,Bancroft District,2012,Brook Trout,Eno Lake,lac Eno,,18-3229-49934,DENBIGH,Yearlings,1000,45.07366,-77.24996,123
-77.28552,44.99422,Bancroft District,2012,Brook Trout,Feeny Lake,lac Feeny,,18-3198-49846,EFFINGHAM,Yearlings,800,44.99422,-77.28552,124
-77.84693,45.54227,Bancroft District,2012,Brook Trout,Fish Lake,lac Fish,,18-2777-50469,DICKENS,Yearlings,1200,45.54227,-77.84693,125
-77.74777,44.757,Bancroft District,2012,Brook Trout,Freen Lake,lac Freen,,18-2825-49594,LAKE,Yearlings,200,44.757,-77.74777,126
-77.3571471,45.1902687,Bancroft District,2012,Brook Trout,Graham Lake,lac Graham,,18-3148-50066,DENBIGH,Yearlings,500,45.1902687,-77.3571471,127
-76.96162,45.12033,Bancroft District,2012,Brook Trout,Graham Lake,lac Graham,,18-3457-49980,MILLER,Yearlings,500,45.12033,-76.96162,128
-77.44747,45.09644,Bancroft District,2012,Brook Trout,Horseshoe Lake,lac Horseshoe,,18-3074-49964,ASHBY,Yearlings,750,45.09644,-77.44747,129
-77.238336,45.2335963,Bancroft District,2012,Brook Trout,Hydes Creek,ruisseau Hydes,,18-3247-50111,LYNDOCH,Yearlings,1500,45.2335963,-77.238336,130
-77.65332,44.99088,Bancroft District,2012,Brook Trout,Jimmie Lake,lac Jimmie,,18-2908-49851,DUNGANNON,Yearlings,550,44.99088,-77.65332,131
-77.88138,45.37922,Bancroft District,2012,Brook Trout,Johnson Lake,lac Johnson,,18-2744-50289,WICKLOW,Yearlings,1100,45.37922,-77.88138,132
-78.95554,45.02978,Bancroft District,2012,Brook Trout,Ketch Lake,lac Ketch,,17-6615-49885,HINDON,Yearlings,1900,45.02978,-78.95554,133
-77.2760337,45.0017194,Bancroft District,2012,Brook Trout,Kilpecker Creek,ruisseau Kilpecker,,18-3200-49854,EFFINGHAM,Yearlings,500,45.0017194,-77.2760337,134
-76.98802,45.08366,Bancroft District,2012,Brook Trout,Kitchen Lake,lac Kitchen,,18-3435-49939,MILLER,Yearlings,200,45.08366,-76.98802,135
-76.9402477,45.174772,Bancroft District,2012,Brook Trout,Little Camp Lake,petit lac Camp,,18-3475-50040,NORTH CANONTO,Yearlings,450,45.174772,-76.9402477,136
-77.33283,45.10351,Bancroft District,2012,Brook Trout,Little Fox Lake,petit lac Fox,,18-3164-49966,ASHBY,Yearlings,300,45.10351,-77.33283,137
-77.45275,45.00422,Bancroft District,2012,Brook Trout,Little Long Lake,petit lac Long,,18-3067-49861,EFFINGHAM,Yearlings,1400,45.00422,-77.45275,138
-76.94078,45.00283,Bancroft District,2012,Brook Trout,Little Mosque Lake,petit lac Mosque,,18-3470-49849,MILLER,Yearlings,450,45.00283,-76.94078,139
-76.7948515,45.1818555,Bancroft District,2012,Brook Trout,Lonewolf Lake,lac Lonewolf,,18-3589-50045,NORTH CANONTO,Yearlings,700,45.1818555,-76.7948515,140
-76.9138914,45.1225946,Bancroft District,2012,Brook Trout,Longbay Lake,lac Longbay,,18-3494-49982,NORTH CANONTO,Yearlings,4200,45.1225946,-76.9138914,141
-78.23972,45.55533,Bancroft District,2012,Brook Trout,Lunch Lake,lac Lunch,,17-7154-50481,AIRY,Yearlings,300,45.55533,-78.23972,142
-76.84273,45.17477,Bancroft District,2012,Brook Trout,McCreary Lake,lac McCreary,,18-3552-50038,NORTH CANONTO,Yearlings,1150,45.17477,-76.84273,143
-77.15246,44.8895,Bancroft District,2012,Brook Trout,McDowall Lake,lac McDowall,,18-3300-49727,BARRIE,Yearlings,450,44.8895,-77.15246,144
-76.82967,45.09171,Bancroft District,2012,Brook Trout,Minnow Lake,lac Minnow,,18-3560-49945,SOUTH CANONTO,Yearlings,500,45.09171,-76.82967,145
-78.8071991,45.20559,Bancroft District,2012,Brook Trout,Nehemiah Lake,lac Nehemiah,,17-6724-50078,SHERBORNE,Yearlings,1000,45.20559,-78.8071991,146
-78.11918,45.58489,Bancroft District,2012,Brook Trout,North Moonbeam Lake,lac Moonbeam Nord,,17-7249-50516,MURCHISON,Yearlings,900,45.58489,-78.11918,147
-77.3637062,45.1270815,Bancroft District,2012,Brook Trout,Nowlan Lake,lac Nowlan,,18-3141-49996,ASHBY,Yearlings,800,45.1270815,-77.3637062,148
-78.07527,45.57393,Bancroft District,2012,Brook Trout,Otherside Lake,lac Otherside,,17-7282-50506,MURCHISON,Yearlings,1500,45.57393,-78.07527,149
-76.84411,45.10644,Bancroft District,2012,Brook Trout,Otter Lake,lac Otter,,18-3549-49962,SOUTH CANONTO,Yearlings,400,45.10644,-76.84411,150
-77.52192,45.13589,Bancroft District,2012,Brook Trout,Parkhurst Lake,lac Parkhurst,,18-3017-50009,ASHBY,Yearlings,750,45.13589,-77.52192,151
-78.78751,45.13061,Bancroft District,2012,Brook Trout,Partridge Lake,lac Partridge,,17-6740-49996,STANHOPE,Yearlings,300,45.13061,-78.78751,152
-78.07973,45.30505,Bancroft District,2012,Brook Trout,Pat Lake,lac Pat,,17-7289-50208,MCCLURE,Yearlings,1200,45.30505,-78.07973,153
-77.80527,45.35783,Bancroft District,2012,Brook Trout,Poplar Pond,étang Poplar,,18-2803-50263,BANGOR,Yearlings,600,45.35783,-77.80527,154
-76.8946612,45.0919161,Bancroft District,2012,Brook Trout,Quinn Lake,lac Quinn,,18-3509-49947,SOUTH CANONTO,Yearlings,1600,45.0919161,-76.8946612,155
